"Mã sản phẩm","Tên sản phẩm","Biến thể","Kho hiện tại","Kiểm kho"
2608680283,"Mũi khoan SDS+ plus 1 (14x200/260mm)",,1.0000,
2608680285,"Mũi khoan SDS+ plus 1 (16x150/210mm)",,1.0000,
2608680286,"Mũi khoan SDS+ plus 1 (16x250/310mm)",,2.0000,
2608680288,"Mũi khoan SDS+ plus 1 (18x200/260mm)",,1.0000,
2608685860,"Mũi khoan SDS-MAX 4 (16x200/340mm)",,1.0000,
2608685864,"Mũi khoan SDS-MAX 4 (20x200/320mm)",,1.0000,
2608833777,"Mũi khoan SDS PLUS-5X 6x50x110",,10.0000,
2608833778,"Mũi khoan SDS PLUS-5X 6x100x160",,6.0000,
2608833779,"Mũi khoan SDS PLUS-5X 6x150x210",,4.0000,
2608833788,"Mũi khoan SDS PLUS-5X 8x50x110",,12.0000,
2608833789,"Mũi khoan SDS PLUS-5X 8x100x160",,10.0000,
2608833790,"Mũi khoan SDS PLUS-5X 8x150x210",,2.0000,
2608833791,"Mũi khoan SDS PLUS-5X 8x200x260",,10.0000,
2608833797,"Mũi khoan SDS PLUS-5X 10x50x110",,4.0000,
2608833798,"Mũi khoan SDS PLUS-5X 10x100x160",,6.0000,
2608833799,"Mũi khoan SDS PLUS-5X 10x150x210",,5.0000,
2608833800,"Mũi khoan SDS PLUS-5X 10x200x260",,5.0000,
2608833801,"Mũi khoan SDS PLUS-5X 10x250x310",,1.0000,
2608833802,"Mũi khoan SDS PLUS-5X 10x300x360",,4.0000,
2608833807,"Mũi khoan SDS PLUS-5X 12x100x160",,5.0000,
2608833809,"Mũi khoan SDS PLUS-5X 12x200x260",,2.0000,
2608833811,"Mũi khoan SDS PLUS-5X 12x300x360",,5.0000,
2608833825,"Mũi khoan SDS PLUS-5X 16x150x210",,5.0000,
2608833826,"Mũi khoan SDS PLUS-5X 16x200x260",,20.0000,
2608833827,"Mũi khoan SDS PLUS-5X 16x250x310",,2.0000,
2608833829,"Mũi khoan SDS PLUS-5X 16x400x460",,1.0000,
263002-9,"Chốt ngang GA4030 - 263002-9",,2.0000,
265099-4,"Ốc - 265099-4",,10.0000,
266510-9,"Bu lông - 266510-9",,3.0000,
267353-2,"Đệm phẳng 9015B/9016B - 267353-2",,2.0000,
27104235,kem,,0.0000,
285840-9,"Nắp chặn MT410/MT580 - 285840-9",,2.0000,
313082-6,"Miếng đệm trượt/4326 - 313082-6",,2.0000,
317550-1,"Ổ chứa bạc đạn MT410 - 317550-1",,2.0000,
317819-3,"Nắp giữ bạc đạn 9553B- 317819-3",,3.0000,
318151-8,"Chân rung/BO3710- 318151-8",,20.0000,
318335-8,"Hộp nhông GA4030 - 318335-8",,2.0000,
318336-6,"Hộp bạc đạn Makita - 318336-6",,2.0000,
318484-1,"Đế BO3710 - 318484-1",,2.0000,
318695-8,"Nắp giữ bạc đạn MT90 - 318695-8",,2.0000,
319487-8,"ĐẦU HỘP NHÔNG/MT964 - 319487-8",,2.0000,
324488-3,"Trục nhông 9553B - 324488-3",,2.0000,
324956-6,"Cốt nhông GA4030 - 324956-6",,2.0000,
326828-1,"TRỤC MÁY/MT964 - 326828-1",,1.0000,
345464-4,"Vòng đệm- 345464-4",,2.0000,
346102-1,"Kẹp nhám BO3710 - 346102-1",,3.0000,
4100NH,"MÁY CẮT GẠCH/ĐÁ MAKITA 4100NH (110MM)",,1.0000,
4100NH3,"Máy cắt gạch Makita 4100NH3",,3.0000,
416476-5,"TẤM BẢO VỆ/4326 - 416476-5",,2.0000,
417771-6,"Nắp chốt 9553b- 417771-6",,5.0000,
418725-6,"Vỏ máy 9556HN-418725-6",,2.0000,
418728-0,"Thanh trượt công tắc 9558HN/GD0601/9556HN - 418728-0",,3.0000,
418794-7,"Vỏ máy 9553NB - 418794-7",,5.0000,
418796-3,"Thanh trượt công tắc 9553NB/6553B - 418796-3",,5.0000,
419091-4,"Vỏ máy 9553B - 419091-4",,5.0000,
419566-3,"Nút đẩy công tắc 9553NB - 419566-3",,5.0000,
419589-1,"Nắp chụp - 419589-1",,2.0000,
421868-5,"Vòng đệm cao su 9553b - 421868-5",,10.0000,
423307-1,"Miếng đệm - 423307-1",,2.0000,
423469-5,"Vòng đệm - 423469-5",,2.0000,
424056-3,"Vòng đệm - 424056-3",,20.0000,
