"Mã sản phẩm","Tên sản phẩm","Biến thể","Kho hiện tại","Kiểm kho"
TS15116,"CHỮ 17mm TOLSEN 15116",,2.0000,
TS15117,"CHỮ T 19mm TOLSEN 15117",,3.0000,
TS15119,"CẦN TÍP TỰ ĐỘNG (CÔNG NGHIỆP) 3/8"" TOLSEN 15119",,2.0000,
TS15120,"CẦN TÍP TỰ ĐỘNG (CÔNG NGHIỆP) 1/2"" TOLSEN 15120",,6.0000,
TS15121,"CẦN NỐI 1/4'' TOLSEN 15121",,2.0000,
TS15122,"CẦN NỐI 1/4'' TOLSEN 15122",,6.0000,
TS15123,"CẦN NỐI 3/8'' TOLSEN 15123",,3.0000,
TS15124,"CẦN NỐI 3/8 TOLSEN 15124",,1.0000,
TS15127,"CẦN NỐI 1/2x125mm(5"") TOLSEN 15127",,5.0000,
TS15128,"CẦN NỐI 1/2x250mm(10"") TOLSEN 15128",,7.0000,
TS15129,"CẦN TRƯỢT 1/4''x115mm(4.5"") TOLSEN 15129",,4.0000,
TS15130,"CẦN TRƯỢT 3/8''x160mm(6"") TOLSEN 15130",,2.0000,
TS15131,"CẦN TRƯỢT 1/2''x250mm(10"") TOLSEN 15131",,7.0000,
TS15132,"ĐẦU NỐI LẮC LÉO 1/4'' x 40mm TOLSEN 15132",,2.0000,
TS15133,"ĐẦU NỐI LẮC LÉO 3/8'' x 56mm TOLSEN 15133",,8.0000,
TS15134,"ĐẦU NỐI LẮC LÉO 1/2'' x 75mm TOLSEN 15134",,6.0000,
TS15139,"BỘ DỤNG CỤ TOLSEN 15139 22 MÓN",,2.0000,
TS15141,"BỘ DỤNG CỤ TOLSEN 15141 24 MÓN",,5.0000,
TS15150,"BỘ ĐẦU TÍP TỰ ĐỘNG 1/4"" 14 MÓN TOLSEN 15150",,3.0000,
TS15151,"BỘ ĐẦU TÍP TỰ ĐỘNG 3/8"" 12 MÓN TOLSEN 15151",,9.0000,
TS15152,"BỘ ĐẦU TÍP TỰ ĐỘNG 1/2"" 12 MÓN TOLSEN 15152",,3.0000,
TS15155,"BỘ 5 KHÓA VÒNG MIỆNG",,1.0000,
TS15159,"BỘ CHÌA KHÓA VÒNG - MIỆNG 8 MÓN TOLSEN 15159",,1.0000,
TS15160,"BỘ CHÌA KHÓA VÒNG - MIỆNG 14 MÓN TOLSEN 15160",,4.0000,
TS15165,"BỘ CHÌA KHÓA MIỆNG - MIỆNG 12 MÓN TOLSEN 15165",,5.0000,
TS15170,"BỘ CHÌA KHÓA VÒNG - VÒNG 12 MÓN TOLSEN 15170",,4.0000,
TS15204,"VÒNG - MiỆNG TỰ ĐỘNG 8mm",,5.0000,
TS15205,"VÒNG - MiỆNG TỰ ĐỘNG 9mm",,8.0000,
TS15206,"VÒNG - MiỆNG TỰ ĐỘNG 10mm",,2.0000,
TS15207,"VÒNG - MiỆNG TỰ ĐỘNG 11mm",,3.0000,
TS15208,"VÒNG - MiỆNG TỰ ĐỘNG 12mm",,8.0000,
TS15209,"VÒNG - MiỆNG TỰ ĐỘNG 13mm TOLSEN 15209",,8.0000,
TS15210,"VÒNG - MiỆNG TỰ ĐỘNG 14mm",,9.0000,
TS15211,"VÒNG - MiỆNG TỰ ĐỘNG 15mm",,10.0000,
TS15212,"VÒNG - MiỆNG TỰ ĐỘNG 16mm",,7.0000,
TS15213,"VÒNG - MiỆNG TỰ ĐỘNG 17mm TOLSEN 15213",,9.0000,
TS15214,"VÒNG - MiỆNG TỰ ĐỘNG 18mm",,7.0000,
TS15215,"VÒNG - MiỆNG TỰ ĐỘNG 19mm",,6.0000,
TS15216,"VÒNG - MiỆNG TỰ ĐỘNG 20mm",,8.0000,
TS15217,"VÒNG - MiỆNG TỰ ĐỘNG 21mm",,3.0000,
TS15218,"VÒNG - MiỆNG TỰ ĐỘNG 22mm",,3.0000,
TS15219,"VÒNG - MiỆNG TỰ ĐỘNG 23mm",,3.0000,
TS15220,"VÒNG - MiỆNG TỰ ĐỘNG 24mm",,2.0000,
TS15221,"VÒNG - MiỆNG TỰ ĐỘNG 25mm",,3.0000,
TS15223,"VÒNG - MiỆNG TỰ ĐỘNG 27mm",,3.0000,
TS15226,"VÒNG - MiỆNG TỰ ĐỘNG 30mm TOLSEN 15226",,4.0000,
TS15229,"BỘ VÒNG MIỆNG TỰ ĐỘNG 7 MÓN",,2.0000,
TS15259,"BỘ VÒNG MIỆNG TỰ ĐỘNG LẮC LÉO 7 MÓN",,1.0000,
TS15280,"MỎ LẾT MINI 6.5'', 165mm",,2.0000,
TS15282,"BỘ MỎ LẾT TĂNG ĐƯA 9 -32mm TOLSEN 15282",,1.0000,
TS15293,"TÍP ĐUÔI CHUỘT 17 x 21mm",,3.0000,
TS15295,"TÍP ĐUÔI CHUỘT 19 x 21mm",,3.0000,
TS15296,"TÍP ĐUÔI CHUỘT 19 x 22mm",,3.0000,
TS15297,"TÍP ĐUÔI CHUỘT 19 x 24mm",,4.0000,
TS15303,"MỎ LẾCH ĐIỀU CHỈNH 205MM, 68MM TOLSEN 15303",,2.0000,
TS15308,"MỎ LẾT CÁN NHỰA ĐEN
CN 150mm(6"")",,0.0000,
TS15309,"MỎ LẾT CÁN NHỰA ĐEN CN 200mm(8"")",,4.0000,
TS15310,"MỎ LẾT CÁN NHỰA ĐEN CN 250mm(10"")",,4.0000,
TS15311,"MỎ LẾT CÁN NHỰA ĐEN CN 300mm(12"")",,2.0000,
TS15375,"BỘ 8 KHÓA VÒNG MIỆNG (HỆ INCH)",,0.0000,
TS15376,"BỘ 12 KHÓA VÒNG MIỆNG (HỆ INCH)",,1.0000,
TS16010,"CẦN TÍP TỰ ĐỘNG 1/2''",,2.0000,
TS16308,"ĐẦU TÍP LỤC GIÁC 3/8 8mm",,4.0000,
TS16309,"ĐẦU TÍP LỤC GIÁC 3/8 9mm",,7.0000,
TS16310,"ĐẦU TÍP LỤC GIÁC 3/8 10mm",,0.0000,
TS16311,"ĐẦU TÍP LỤC GIÁC 3/8 11mm",,7.0000,
TS16312,"ĐẦU TÍP LỤC GIÁC 3/8 12mm",,4.0000,
TS16313,"ĐẦU TÍP LỤC GIÁC 3/8 13mm",,3.0000,
TS16314,"ĐẦU TÍP LỤC GIÁC 3/8 14mm",,2.0000,
TS16315,"ĐẦU TÍP LỤC GIÁC 3/8 15mm",,5.0000,
TS16316,"ĐẦU TÍP LỤC GIÁC 3/8 16mm TOLSEN 16316",,7.0000,
TS16317,"ĐẦU TÍP LỤC GIÁC 3/8 17mm",,5.0000,
TS16318,"ĐẦU TÍP LỤC GIÁC 3/8 18mm",,7.0000,
TS16319,"ĐẦU TÍP LỤC GIÁC 3/8 19mm",,4.0000,
TS16358,"ĐẦU TÍP LỤC GIÁC DÀI 3/8 8mm",,5.0000,
TS16359,"ĐẦU TÍP LỤC GIÁC DÀI 3/8 9mm",,7.0000,
TS16360,"ĐẦU TÍP LỤC GIÁC DÀI 3/8 10mm",,0.0000,
TS16361,"ĐẦU TÍP LỤC GIÁC DÀI 3/8 11mm",,7.0000,
TS16362,"ĐẦU TÍP LỤC GIÁC DÀI 3/8 12mm",,4.0000,
TS16363,"ĐẦU TÍP LỤC GIÁC DÀI 3/8 13mm TOLSEN 16363",,1.0000,
TS16364,"ĐẦU TÍP LỤC GIÁC DÀI 3/8 14mm",,0.0000,
TS16365,"ĐẦU TÍP LỤC GIÁC DÀI 3/8 15mm",,7.0000,
TS16366,"ĐẦU TÍP LỤC GIÁC DÀI 3/8 16mm",,7.0000,
TS16368,"ĐẦU TÍP LỤC GIÁC DÀI 3/8 18mm",,8.0000,
TS16369,"ĐẦU TÍP LỤC GIÁC DÀI 3/8 19mm",,5.0000,
TS16508,"ĐẦU TÍP LỤC GIÁC 1/2'' 8mm",,2.0000,
TS16509,"ĐẦU TÍP LỤC GIÁC 1/2'' 9mm",,8.0000,
TS16510,"ĐẦU TÍP LỤC GIÁC 1/2'' 10mm",,6.0000,
TS16511,"ĐẦU TÍP LỤC GIÁC 1/2'' 11mm",,8.0000,
TS16512,"ĐẦU TÍP LỤC GIÁC 1/2'' 12mm",,2.0000,
TS16513,"ĐẦU TÍP LỤC GIÁC 1/2'' 13mm",,1.0000,
TS16514,"ĐẦU TÍP LỤC GIÁC 1/2'' 14mm",,0.0000,
TS16515,"ĐẦU TÍP LỤC GIÁC 1/2'' 15mm",,6.0000,
TS16516,"ĐẦU TÍP LỤC GIÁC 1/2'' 16mm",,8.0000,
TS16517,"ĐẦU TÍP LỤC GIÁC 1/2'' 17mm",,3.0000,
TS16518,"ĐẦU TÍP LỤC GIÁC 1/2'' 18mm",,25.0000,
TS16519,"ĐẦU TÍP LỤC GIÁC 1/2'' 19mm",,18.0000,
TS16520,"ĐẦU TÍP LỤC GIÁC 1/2'' 20mm",,7.0000,
TS16521,"ĐẦU TÍP LỤC GIÁC 1/2'' 21mm",,3.0000,
TS16522,"ĐẦU TÍP LỤC GIÁC 1/2'' 22mm",,4.0000,
TS16523,"ĐẦU TÍP LỤC GIÁC 1/2'' 23mm",,4.0000,
TS16524,"ĐẦU TÍP LỤC GIÁC 1/2'' 24mm",,4.0000,
TS16527,"ĐẦU TÍP LỤC GIÁC 1/2'' 27mm",,6.0000,
TS16530,"ĐẦU TÍP LỤC GIÁC 1/2'' 30mm",,4.0000,
TS16558,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 8mm",,3.0000,
TS16559,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 9mm",,6.0000,
TS16560,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 10mm",,3.0000,
TS16561,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 11mm",,7.0000,
TS16562,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 12mm",,14.0000,
TS16563,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 13mm",,8.0000,
TS16564,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 14mm",,12.0000,
TS16565,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 15mm",,17.0000,
TS16566,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 16mm",,3.0000,
TS16567,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 17mm",,1.0000,
TS16568,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 18mm",,7.0000,
TS16569,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 19mm",,4.0000,
TS16570,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 20mm",,4.0000,
TS16571,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 21mm",,2.0000,
TS16572,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 22mm",,2.0000,
TS16573,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 23mm",,1.0000,
TS16574,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 24mm",,3.0000,
TS16577,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 27mm",,6.0000,
TS16580,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 30mm TOLSEN 16580",,5.0000,
TS16582,"ĐẦU TÍP LỤC GIÁC DÀI 1/2'' 32mm",,7.0000,
TS20001,"TUA VÍT CÁN MỀN 3.0x75mm (-)",,8.0000,
TS20002,"TUA VÍT CÁN MỀN 4.0x100mm (-)",,7.0000,
TS20003,"TUA VÍT CÁN MỀN 5.5x100mm (-)",,8.0000,
TS20004,"TUA VÍT CÁN MỀN 6.5x150mm (-)",,3.0000,
TS20005,"TUA VÍT CÁN MỀN 8.0x150mm",,2.0000,
TS20006,"TUA VÍT CÁN MỀN PH0x75mm TOLSEN 20006",,17.0000,
TS20007,"TUA VÍT CÁN MỀN PH1x100mm TOLSEN 20007",,17.0000,
TS20009,"TUA VÍT CÁN MỀN PH3x150mm (+)",,11.0000,
TS20014,"BỘ TUA VÍT 6 CÂY",,12.0000,
TS20017,"TUA VÍT CÁN TRONG 4x100mm -",,6.0000,
TS20018,"TUA VÍT CÁN TRONG 5x100mm -",,1.0000,
TS20019,"TUA VÍT CÁN TRONG 6x150mm -",,2.0000,
TS20029,"BỘ VÍT CÁN TRONG 6 CÂY TOLSEN 20029",,2.0000,
TS20031,"BỘ VÍT SỬA ĐỒNG HỒ 6 CÂY TOLSEN 20031",,4.0000,
TS20032,"CỤC KHỬ TỪ TUA VÍT TOLSEN 20032",,4.0000,
TS20033,"BỘ VÍT TỰ ĐỘNG 7 TRONG 1 TOLSEN 20033",,2.0000,
TS20034,"VÍT BỘ 26 CÂY TOLSEN 20034",,2.0000,
TS20035,"BỘ VÍT TÍP 38 CÂY TOLSEN 20035",,3.0000,
TS20039,"BỘ TUA VÍT 8 IN 1 TOLSEN 20039",,1.0000,
TS20040,"BỘ VÍT TỰ ĐỘNG TOLSEN 20040 14 MŨI",,4.0000,
TS20041,"BỘ VÍT TÍP 42 MÓN TOLSEN 20041",,6.0000,
TS20042,"BỘ TUA VÍT TOLSEN 20042 2 IN 1",,2.0000,
TS20043,"BỘ TUA VÍT TOLSEN 20043 4 IN 1",,8.0000,
TS20048,"LỤC GIÁC BỘ 9 CÂY NGẮN TOLSEN 20048",,5.0000,
TS20049,"LỤC GIÁC BỘ TOLSEN 20049 9 CÂY DÀI",,1.0000,
TS20051,"LỤC GIÁC BỘ 10 CÁI TOLSEN 20051",,7.0000,
TS20054,"LỤC GIÁC BI BỘ 9 CÂY DÀI TOLSEN 20054",,3.0000,
TS20056,"LỤC GIÁC BÔNG BỘ 9 CÂY NGẮN TOLSEN 20056",,2.0000,
TS20057,"LỤC GIÁC BÔNG BỘ 9 CÂY DÀI TOLSEN 20057",,6.0000,
TS20061,"BỘ LỤC GIÁC CHỮ 8 CÂY TOLSEN 20061",,1.0000,
TS20062,"BỘ LỤC GIÁC CHỮ 8 CÂY TOLSEN 20062",,2.0000,
TS20068,"BỘ LỤC GIÁC 8 CÂY ĐẦU BI TOLSEN 20068",,4.0000,
TS20069,"BỘ LỤC GIÁC 8 CÂY ĐẦU BÔNG TOLSEN 20069",,8.0000,
TS20111,"VÍT ĐÓNG ĐẦU TRỪ TOLSEN 20111",,4.0000,
TS20112,"VÍT ĐÓNG ĐẦU TRỪ TOLSEN 20112",,5.0000,
TS20114,"VÍT ĐÓNG ĐẦU TRỪ TOLSEN 20114",,5.0000,
TS20115,"VÍT ĐÓNG ĐẦU TRỪ TOLSEN 20115",,3.0000,
TS20117,"VÍT ĐÓNG ĐẦU TRỪ TOLSEN 20117",,7.0000,
TS20119,"VÍT ĐÓNG ĐẦU TRỪ TOLSEN 20119",,7.0000,
TS20121,"VÍT ĐÓNG ĐẦU CỘNG TOLSEN 20121",,6.0000,
TS20122,"VÍT ĐÓNG ĐẦU CỘNG TOLSEN 20122",,10.0000,
TS20124,"VÍT ĐÓNG ĐẦU CỘNG TOLSEN 20124",,12.0000,
TS20125,"VÍT ĐÓNG ĐẦU CỘNG TOLSEN 20125",,4.0000,
TS20127,"VÍT ĐÓNG ĐẦU CỘNG",,7.0000,
TS20129,"VÍT ĐÓNG ĐẦU CỘNG",,8.0000,
TS20131,"TUA VÍT NGẮN -, 5.5 x 38mm",,5.0000,
TS20132,"TUA VÍT NGẮN -, 6.5 x 38mm",,10.0000,
TS20133,"TUA VÍT NGẮN +, ph1 x 38mm",,14.0000,
TS20138,"TUA VÍT ĐÓNG NGẮN TOLSEN 20138",,13.0000,
TS20140,"TUA VÍT ĐÓNG NGẮN 38mm",,15.0000,
TS20144,"TUA VÍT - 6.5x100mm",,2.0000,
TS20154,"TUA VÍT - PH2x*100mm",,34.0000,
TS20180,"BỘ 4 CÂY TUA VÍT",,7.0000,
TS20181,"BỘ 2 CÂY TUA VÍT MINI",,10.0000,
TS20182,"BỘ 2 CÂY TUA VÍT",,4.0000,
TS20207,"BỘ 2 ĐẦU VÍT TOLSEN 20207",,5.0000,
TS20233,"BỘ ĐẦU LỤC GIÁC ( CÔNG NGIỆP ) TOLSEN 20233",,3.0000,
TS20234,"BỘ ĐẦU LỤC GIÁC ( CÔNG NGIỆP ) TOLSEN 20234",,4.0000,
TS20235,"BỘ ĐẦU LỤC GIÁC ( CÔNG NGIỆP ) TOLSEN 20235",,4.0000,
TS20236,"BỘ ĐẦU LỤC GIÁC ( CÔNG NGIỆP ) TOLSEN 20236",,5.0000,
TS20238,"BỘ ĐẦU VÍT VUÔNG ( CÔNG NGHIỆP ) TOLSEN 20238",,5.0000,
TS20239,"BỘ ĐẦU VÍT VUÔNG ( CÔNG NGHIỆP ) TOLSEN 20239",,5.0000,
TS20240,"BỘ ĐẦU VÍT VUÔNG ( CÔNG NGHIỆP ) TOLSEN 20240",,5.0000,
TS20312,"BỘ 2 ĐẦU VÍT PH1*50 TOLSEN 20312",,4.0000,
TS20326,"BỘ 2 ĐẦU VÍT T30*50 TOLSEN 20326",,4.0000,
TS20327,"BỘ 2 ĐẦU VÍT T40*50 TOLSEN 20327",,1.0000,
TS20333,"BỘ 2 ĐẦU LỤC GIÁC ( CÔNG NGHIỆP) TOLSEN 20333",,4.0000,
TS20335,"BỘ 2 ĐẦU LỤC GIÁC ( CÔNG NGHIỆP) TOLSEN 20335",,4.0000,
TS20336,"BỘ 2 ĐẦU LỤC GIÁC ( CÔNG NGHIỆP) TOLSEN 20336",,3.0000,
TS20338,"BỘ 2 ĐẦU VÍT VUÔNG( CÔNG NGHIỆP) TOLSEN 20338",,5.0000,
TS20339,"BỘ 2 ĐẦU VÍT VUÔNG ( CÔNG NGHIỆP) TOLSEN 20339",,5.0000,
TS20340,"BỘ 2 ĐẦU VÍT VUÔNG ( CÔNG NGHIỆP) TOLSEN 20340",,5.0000,
TS20360,"BỘ 10 TUA VÍT 2 ĐẦU CỘNG TOLSEN 20360",,6.0000,
TS20361,"BỘ 10 TUA VÍT 2 ĐẦU CỘNG & TRỪ",,4.0000,
TS20365,"BỘ ĐẦU VÍT 15 MÓN",,4.0000,
TS20370,"BỘ VÍT 38 CHI TIẾT",,2.0000,
TS204556,"Máy cưa lọng Total 400W",,2.0000,
TS25001,"BÚA GÒ CÁN NHỰA 200g",,1.0000,
TS25002,"BÚA GÒ CÁN NHỰA 300g",,7.0000,
TS25003,"BÚA GÒ CÁN NHỰA 500g",,9.0000,
TS25007,"BÚA GÒ CÁN NHỰA 1500g TOLSEN 25007",,13.0000,
TS25010,"BÚA TẠ CÁN NHỰA 1KG",,1.0000,
TS25013,"BÚA TẠ CÁN NHỰA 2KG",,1.0000,
TS25016,"BÚA TẠ CÁN NHỰA DÀI 5KG TOLSEN 25016",,1.0000,
TS25025,"BÚA ĐẦU TRÒN CÁN NHỰA 32OZ",,3.0000,
TS25028,"BÚA SỪNG DÊ CÁN NHỰA 8OZ(23mm/225g)",,7.0000,
TS25030,"BÚA SỪNG DÊ CÁN NHỰA 16OZ(29mm/450g)",,3.0000,
TS25031,"BÚA SỪNG DÊ CÁN NHỰA 20OZ(31mm/650g)",,2.0000,
TS25032,"BÚA SỪNG DÊ CÁN GỖ 560g",,4.0000,
TS25033,"BÚA CAO SU 8OZ(220g)",,33.0000,
TS25035,"BÚA CAO SU 16OZ(450g)",,6.0000,
TS25037,"BÚA CAO SU 24OZ (675g)",,4.0000,
TS25040,"BÚA CAO SU CAO CẤP",,3.0000,
TS25042,"BÚA CAO SU 2 ĐẦU 35mm",,13.0000,
TS25043,"BÚA TẠ CÁN NHỰA 900g",,3.0000,
TS25053,"BÚA RÌU CÁN NHỰA , NEW 600G",,13.0000,
TS25056,"ĐỤC CÁN NHỰA (CÔNG NGHIỆP) 6mm",,5.0000,
TS25058,"ĐỤC CÁN NHỰA (CÔNG NGHIỆP) 8mm",,5.0000,
TS25060,"ĐỤC CÁN NHỰA (CÔNG NGHIỆP) 12mm",,1.0000,
TS25061,"ĐỤC CÁN NHỰA (CÔNG NGHIỆP) 14mm",,3.0000,
TS25062,"ĐỤC CÁN NHỰA (CÔNG NGHIỆP) 18mm",,10.0000,
TS25063,"ĐỤC CÁN NHỰA (CÔNG NGHIỆP) 20mm",,1.0000,
TS25065,"ĐỤC CÁN NHỰA (CÔNG NGHIỆP) 24mm",,1.0000,
TS25066,"ĐỤC CÁN NHỰA (CÔNG NGHIỆP) 26mm",,1.0000,
TS25067,"ĐỤC CÁN NHỰA (CÔNG NGHIỆP) 19mm",,5.0000,
TS25068,"ĐỤC CÁN NHỰA (CÔNG NGHIỆP) 20mm",,1.0000,
TS25069,"ĐỤC CÁN NHỰA (CÔNG NGHIỆP) 22mm",,2.0000,
TS25070,"ĐỤC CÁN NHỰA (CÔNG NGHIỆP) 24mm TOLSEN 25070",,3.0000,
TS25071,"ĐỤC CÁN NHỰA (CÔNG NGHIỆP) 25mm",,2.0000,
TS25072,"ĐỤC CÁN NHỰA (CÔNG NGHIỆP) 26mm",,1.0000,
TS25073,"ĐỤC CÁN NHỰA (CÔNG NGHIỆP) 32mm",,3.0000,
TS25079,"ĐỤC CÁN NHỰA (CÔNG NGHIỆP) 51mm",,1.0000,
TS25082,"ĐỤC SẮT NHỌN 4*16*250mm",,1.0000,
TS25085,"ĐỤC SẮT NHỌN 10 TOLSEN 25085",,4.0000,
TS25086,"ĐỤC SẮT DẸP 10 TOLSEN 25086",,5.0000,
TS25089,"ĐỤC SẮT DẸP 24*18*300mm",,2.0000,
TS25091,"BỘ 5 ĐỤC DÙI (CÔNG NGHIỆP)",,2.0000,
TS25094,"BỘ ĐÓNG SỐ 9 CÂY NHỎ",,7.0000,
TS25101,"BỘ ĐÓNG 27 CHỮ NHỎ",,4.0000,
TS25104,"BỘ ĐÓNG 27 CHỮ LỚN",,1.0000,
TS25109,"XÀ BEN 16x600mm",,2.0000,
TS25111,"XÀ BEN 18x750mm",,1.0000,
TS25115,"XÀ BEN 6x35x375mm",,1.0000,
TS25121,"BÚA GÒ CÁN GỖ 200g",,2.0000,
TS25122,"BÚA GÒ CÁN GỖ 300g",,5.0000,
TS25123,"BÚA GÒ CÁN GỖ 500g",,2.0000,
TS25124,"BÚA GÒ CÁN GỖ 1000g",,3.0000,
TS25125,"BÚA GÒ CÁN GỖ 1500g",,2.0000,
TS25126,"BÚA GÒ CÁN GỖ 2000g",,5.0000,
TS25130,"BÚA TẠ CÁN GỖ 1KG",,7.0000,
TS25132,"BÚA TẠ CÁN GỖ 1.5KG",,1.0000,
TS25133,"BÚA TẠ CÁN GỖ 2KG",,3.0000,
TS25142,"BÚA ĐẦU TRÒN CÁN GỖ 16OZ",,4.0000,
TS25145,"BÚA ĐẦU TRÒN CÁN GỖ 32OZ",,3.0000,
TS25148,"BÚA SỪNG DÊ CÁN GỖ 225g TOLSEN 25148",,9.0000,
TS25150,"BÚA SỪNG DÊ CÁN GỖ 450g",,3.0000,
TS25158,"BÚA SỪNG DÊ CÁN NHỰA 25mm",,2.0000,
TS25164,"BÚA SỪNG DÊ CÁN GỖ 25mm",,2.0000,
TS25165,"BÚA SỪNG DÊ CÁN GỖ 27mm",,2.0000,
TS25167,"BÚA SỪNG DÊ 1 SỪNG 600g",,5.0000,
TS25173,"BÚA CAO SU TRẮNG 225g",,5.0000,
TS25175,"BÚA CAO SU TRẮNG 450g",,5.0000,
TS25177,"BÚA CAO SU TRẮNG 675g",,5.0000,
TS25185,"BÚA SỪNG DÊ CÁN NHỰA",,3.0000,
TS25188,"BÚA ĐẦU NHỌN CÁN NHỰA",,3.0000,
TS25190,"BÚA SỪNG DÊ CÁN NHỰA ĐẦU ĐEN",,3.0000,
TS25253,"BÚA RÌU CÁN GỖ 600g",,4.0000,
TS25254,"BÚA RÌU CÁN GỖ 800g TOLSEN 25254",,5.0000,
TS25256,"BÚA RÌU CÁN GỖ 1250g TOLSEN 25256",,1.0000,
TS25384,"BỘ 3 ĐỤC CÁN GỖ 6,13,19,25mm",,3.0000,
TS30000,"DAO RỌC GiẤY NHỎ",,10.0000,
TS30001,"DAO RỌC GiẤY CÁN NHỰA",,7.0000,
TS30002,"DAO RỌC GiẤY CÁN NHÔM 18*100MM TOLSEN 30002",,7.0000,
TS30003,"DAO RỌC GiẤY ( 3 LƯỠI )",,8.0000,
TS30004,"DAO RỌC GiẤY MINI CÁN NHỰA",,17.0000,
TS30005,"DAO RỌC GiẤY MINI CÁN SẮT",,7.0000,
TS30006,"CÂY SỦI",,3.0000,
TS30008,"DAO RỌC GiẤY LƯỠI LIỀN CÁN NHÔM",,28.0000,
TS30011,"LƯỠI DAO ( TÉP 10 LƯỠI)",,10.0000,
TS30012,"LƯỠI DAO ( TÉP 10 LƯỠI) TOLSEN 30012",,7.0000,
TS30013,"LƯỠI DAO TRÁI ẤU (5 LƯỠI)",,2.0000,
TS30014,"CÂY SỦI 174MM",,5.0000,
TS30015,"DAO RỌC GiẤY 3 LƯỠI (CÔNG NGHIỆP) TOLSEN 30015",,10.0000,
TS30016,"DAO RỌC GIẤY 3 LƯỠI (CÔNG NGHIỆP) TO TOLSEN 30016",,7.0000,
TS30017,"LƯỠI DAO THÉP SK5 ( SIZE TO) ĐƠN VỊ 10 LƯỠI TOLSEN 30017",,5.0000,
TS30018,"DAO RỌC GIẤY CÓ KHÓA TOLSEN 30018",,8.0000,
TS30019,"DAO RỌC GIẤY 3 LƯỠI",,5.0000,
TS30021,"KÉO CẮT TÔN TRÁI (CÔNG NGHIỆP)",,5.0000,
TS30022,"KÉO CẮT TÔN THẲNG (CÔNG NGHIỆP) 10""/250MM TOLSEN 30022",,7.0000,
TS30023,"KÉO CẮT TÔN PHẢI (CÔNG NGHIỆP)",,5.0000,
TS30030,"KÉO CẮT TÔN CÁN THẲNG 10'',250mm",,6.0000,
TS30037,"KÉO CẮT TÔN 12'', 300mm",,2.0000,
TS30042,"KÉO ĐA NĂNG 7'', 180mm",,7.0000,
TS30043,"KÉO ĐiỆN TỬ (CÔNG NGHIỆP) 5.5''",,12.0000,
TS30044,"KÉO GIA DỤNG 8'', 200mm",,7.0000,
TS30045,"KÉO LÀM BẾP 8'', 200mm",,9.0000,
TS30046,"KÈM ĐA NĂNG",,11.0000,
TS30049,"KÉO CẮT ĐA NĂNG 220mm",,7.0000,
TS30050,"KHUNG CƯA LỘNG 150mm",,3.0000,
TS30051,"KHUNG CƯA LỘNG 150mm TOLSEN 30051",,9.0000,
TS30052,"KHUNG CƯA VUÔNG 300mm",,2.0000,
TS30053,"KHUNG CƯA TRÒN 300mm TOLSEN 30053",,6.0000,
TS30055,"KHUNG CƯA TỐT 300mm",,8.0000,
TS30056,"KHUNG CƯA TĂNG ĐƯA 300mm",,1.0000,
TS3006,"Máy cắt gọc đa năng Total 300W",,3.0000,
TS30060,"BỌC 10 LƯỠI CƯA 150mm",,2.0000,
TS30061,"LƯỠI CƯA ĐEN 300mm ( X 10 LƯỠI)",,6.0000,
TS30064,"LƯỠI CƯA VÀNG TỐT 300mm (X 2 LƯỠI)",,2.0000,
TS30065,"LƯỠI CƯA VÀNG 300 (X 1 LƯỠI) 24 RĂNG TOLSEN 30065",,28.0000,
TS30066,"LƯỠI CƯA VÀNG 300 (X 1 LƯỠI)18 RĂNG TOLSEN 30066",,30.0000,
TS30106,"LƯỠI CƯA GỖ THƯA 610mm TOLSEN 30106",,5.0000,
TS30108,"DAO RỌC GiẤY LƯỠI LIỀN CỐ ĐỊNH CÁN NHÔM",,1.0000,
TS31013,"CÂY SỨA THẲNG 150mm",,3.0000,
TS31014,"SỨA XẾP 300mm",,3.0000,
TS31017,"BỘ CƯA BẢNG + KHUNG CƯA GỖ 300mm TOLSEN 31017",,2.0000,
TS31018,"KÉO CẮT CÀNH CÁN NHUNG 200mm",,9.0000,
TS31019,"KÉO CẮT CÀNH CÁN NHUNG 200mm",,2.0000,
TS31022,"KÉO CẮT CÀNH CÁN VÀNG 200mm TOLSEN 31022",,15.0000,
